IP,Cx,Cy,a0,a2,a3,a4,c,d,e
192.168.8.83,505.068415,384.877680,-2.131806e+02,1.543840e-03,-3.369610e-06,1.099054e-08,0.999491,-0.000084,-0.000151
192.168.1.200,513.051033,397.942176,-2.143626e+02,1.434128e-03,-2.566019e-06,9.353468e-09,1.001552,-0.000298,-0.000293
192.168.1.201,516.787450,368.994461,-2.167657e+02,1.332068e-03,-1.987757e-06,8.462064e-09,1.001125,0.000277,-0.000050
192.168.1.202,519.716307,386.350865,-2.110893e+02,1.638206e-03,-4.016119e-06,1.247224e-08,1.001703,-0.000108,-0.000428
192.168.1.204,510.676037,390.350038,-2.117638e+02,1.441391e-03,-2.639849e-06,9.592439e-09,0.999966,-0.000108,0.000435
192.168.1.205,521.700967,381.824922,-2.115883e+02,1.450538e-03,-2.518810e-06,8.933131e-09,1.000410,-0.000002,0.000632
192.168.1.206,531.791946,391.917832,-2.120490e+02,1.335863e-03,-1.663707e-06,7.460046e-09,1.001053,-0.000274,-0.000540
192.168.1.207,519.028926,390.408861,-2.138979e+02,1.410354e-03,-2.245347e-06,8.583469e-09,1.000756,0.000267,0.000356
192.168.1.208,505.285597,389.246031,-2.169968e+02,1.533924e-03,-3.500920e-06,1.160113e-08,0.999762,-0.000142,0.000557
192.168.1.190,521.108866,385.250264,-2.118534e+02,1.564697e-03,-3.217810e-06,1.038235e-08,1.000661,0.000292,0.000212
192.168.1.210,523.105707,373.307531,-2.136096e+02,1.510697e-03,-3.225000e-06,1.074676e-08,1.000162,0.000619,-0.000443
192.168.1.211,512.880466,422.701786,-2.095464e+02,1.333647e-03,-1.875726e-06,8.056770e-09,0.999899,0.000251,-0.000380
192.168.1.212,526.986158,398.522795,-2.113013e+02,1.327448e-03,-1.635840e-06,7.221577e-09,0.999921,0.000781,-0.000296
192.168.1.213,525.351210,379.773637,-2.119368e+02,1.852082e-03,-5.265314e-06,1.459867e-08,0.999199,-0.000055,-0.000031
192.168.1.214,502.182368,383.450928,-2.135386e+02,1.934887e-03,-5.986304e-06,1.571894e-08,1.000237,-0.000055,-0.000165
192.168.1.215,517.207843,380.171228,-2.117275e+02,1.913280e-03,-5.724327e-06,1.514850e-08,1.000938,0.000326,0.000194
192.168.1.216,501.187763,377.754633,-2.102221e+02,1.577140e-03,-3.514546e-06,1.135017e-08,1.000154,0.000088,-0.000088
192.168.1.217,492.863066,383.892683,-2.138553e+02,2.071473e-03,-6.732427e-06,1.692781e-08,0.999640,-0.000228,-0.000010
192.168.1.218,518.816818,378.957769,-2.151497e+02,1.604246e-03,-3.943204e-06,1.227588e-08,1.000150,0.000437,0.000642
192.168.1.219,516.801323,380.349356,-2.109930e+02,1.864189e-03,-5.345572e-06,1.464009e-08,0.999966,-0.000216,0.000109
192.168.1.220,508.172898,381.065257,-2.154219e+02,1.341974e-03,-1.630087e-06,7.005128e-09,1.000128,0.000112,-0.000698
192.168.1.221,509.640337,394.089670,-2.123769e+02,1.338892e-03,-1.737760e-06,7.843308e-09,0.999103,-0.000141,-0.001077
192.168.1.222,504.212050,388.228350,-2.088137e+02,1.455701e-03,-2.349180e-06,9.030342e-09,0.999793,-0.000103,0.000112
192.168.1.223,499.058120,372.976421,-2.141271e+02,1.439070e-03,-2.567854e-06,9.507662e-09,0.999771,0.000117,-0.000460
192.168.1.224,519.398420,388.837297,-2.101772e+02,1.402699e-03,-2.253830e-06,9.053428e-09,0.998391,0.000352,-0.000038
192.168.1.225,514.601264,391.712882,-2.092112e+02,1.580706e-03,-3.518597e-06,1.164355e-08,0.998449,-0.000119,0.000076
192.168.1.226,531.362955,391.937487,-2.130869e+02,1.518079e-03,-3.041309e-06,1.020167e-08,1.000710,0.000055,0.000049   
192.168.1.233,516.267910,377.166989,-2.106890e+02,1.512475e-03,-2.818717e-06,9.718998e-09,0.999780,0.000048,-0.000600
192.168.1.235,514.447412,383.347207,-2.119925e+02,1.707718e-03,-4.369680e-06,1.294384e-08,1.000483,0.000152,0.000002
192.168.1.236,503.737432,385.266040,-2.154881e+02,1.674346e-03,-4.300341e-06,1.260972e-08,1.000829,-0.000625,-0.000660
192.168.1.237,528.608019,379.080187,-2.122583e+02,1.769405e-03,-4.798924e-06,1.367899e-08,1.000151,-0.000075,0.000777
192.168.1.238,490.270080,394.973582,-2.127442e+02,1.729699e-03,-4.571001e-06,1.319373e-08,0.999957,-0.000694,-0.000514
